


EXPERIMENT: input length 3
[2019-04-26 18:45] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 425.04, Accuracy = 0.12, Loss = 2.303
[2019-04-26 18:45] Train Step 0150/10000, Batch Size = 128, Examples/Sec = 35976.07, Accuracy = 0.14, Loss = 2.260
[2019-04-26 18:45] Train Step 0160/10000, Batch Size = 128, Examples/Sec = 35971.25, Accuracy = 0.20, Loss = 2.261
[2019-04-26 18:45] Train Step 0170/10000, Batch Size = 128, Examples/Sec = 35715.20, Accuracy = 0.15, Loss = 2.262
[2019-04-26 18:45] Train Step 0180/10000, Batch Size = 128, Examples/Sec = 35648.80, Accuracy = 0.22, Loss = 2.257
[2019-04-26 18:45] Train Step 0190/10000, Batch Size = 128, Examples/Sec = 35964.02, Accuracy = 0.20, Loss = 2.246
[2019-04-26 18:45] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 36250.57, Accuracy = 0.18, Loss = 2.253
[2019-04-26 18:45] Train Step 0210/10000, Batch Size = 128, Examples/Sec = 35667.75, Accuracy = 0.21, Loss = 2.256
[2019-04-26 18:45] Train Step 0220/10000, Batch Size = 128, Examples/Sec = 35601.52, Accuracy = 0.17, Loss = 2.258
[2019-04-26 18:45] Train Step 0230/10000, Batch Size = 128, Examples/Sec = 35947.17, Accuracy = 0.17, Loss = 2.265
[2019-04-26 18:45] Train Step 0240/10000, Batch Size = 128, Examples/Sec = 35980.89, Accuracy = 0.12, Loss = 2.258
[2019-04-26 18:45] Train Step 0250/10000, Batch Size = 128, Examples/Sec = 36031.60, Accuracy = 0.20, Loss = 2.255
[2019-04-26 18:45] Train Step 0260/10000, Batch Size = 128, Examples/Sec = 35271.72, Accuracy = 0.13, Loss = 2.261
[2019-04-26 18:45] Train Step 0270/10000, Batch Size = 128, Examples/Sec = 35777.08, Accuracy = 0.21, Loss = 2.236
[2019-04-26 18:45] Train Step 0280/10000, Batch Size = 128, Examples/Sec = 35988.13, Accuracy = 0.17, Loss = 2.247
[2019-04-26 18:45] Train Step 0290/10000, Batch Size = 128, Examples/Sec = 35853.54, Accuracy = 0.20, Loss = 2.244
[2019-04-26 18:45] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 35810.49, Accuracy = 0.20, Loss = 2.249
[2019-04-26 18:45] Train Step 0310/10000, Batch Size = 128, Examples/Sec = 35796.17, Accuracy = 0.20, Loss = 2.233
[2019-04-26 18:45] Train Step 0320/10000, Batch Size = 128, Examples/Sec = 34476.68, Accuracy = 0.21, Loss = 2.233
[2019-04-26 18:45] Train Step 0330/10000, Batch Size = 128, Examples/Sec = 35677.23, Accuracy = 0.14, Loss = 2.253
[2019-04-26 18:45] Train Step 0340/10000, Batch Size = 128, Examples/Sec = 36034.02, Accuracy = 0.22, Loss = 2.243
[2019-04-26 18:45] Train Step 0350/10000, Batch Size = 128, Examples/Sec = 36233.44, Accuracy = 0.18, Loss = 2.229
[2019-04-26 18:45] Train Step 0360/10000, Batch Size = 128, Examples/Sec = 35765.17, Accuracy = 0.14, Loss = 2.236
[2019-04-26 18:45] Train Step 0370/10000, Batch Size = 128, Examples/Sec = 36216.33, Accuracy = 0.28, Loss = 2.230
[2019-04-26 18:45] Train Step 0380/10000, Batch Size = 128, Examples/Sec = 35700.95, Accuracy = 0.23, Loss = 2.228
[2019-04-26 18:45] Train Step 0390/10000, Batch Size = 128, Examples/Sec = 35648.80, Accuracy = 0.19, Loss = 2.223
[2019-04-26 18:45] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 35765.17, Accuracy = 0.15, Loss = 2.244
[2019-04-26 18:45] Train Step 0410/10000, Batch Size = 128, Examples/Sec = 36326.61, Accuracy = 0.17, Loss = 2.240
[2019-04-26 18:45] Train Step 0420/10000, Batch Size = 128, Examples/Sec = 36138.32, Accuracy = 0.21, Loss = 2.226
[2019-04-26 18:45] Train Step 0430/10000, Batch Size = 128, Examples/Sec = 36072.76, Accuracy = 0.19, Loss = 2.233
[2019-04-26 18:45] Train Step 0440/10000, Batch Size = 128, Examples/Sec = 36036.44, Accuracy = 0.15, Loss = 2.236
[2019-04-26 18:45] Train Step 0450/10000, Batch Size = 128, Examples/Sec = 35944.76, Accuracy = 0.12, Loss = 2.239
[2019-04-26 18:45] Train Step 0460/10000, Batch Size = 128, Examples/Sec = 36067.91, Accuracy = 0.15, Loss = 2.225
[2019-04-26 18:45] Train Step 0470/10000, Batch Size = 128, Examples/Sec = 35918.31, Accuracy = 0.20, Loss = 2.220
[2019-04-26 18:45] Train Step 0480/10000, Batch Size = 128, Examples/Sec = 35743.74, Accuracy = 0.14, Loss = 2.247
[2019-04-26 18:45] Train Step 0490/10000, Batch Size = 128, Examples/Sec = 35582.64, Accuracy = 0.17, Loss = 2.229
[2019-04-26 18:45] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 35779.47, Accuracy = 0.14, Loss = 2.241
[2019-04-26 18:45] Train Step 0510/10000, Batch Size = 128, Examples/Sec = 35983.31, Accuracy = 0.20, Loss = 2.215
[2019-04-26 18:45] Train Step 0520/10000, Batch Size = 128, Examples/Sec = 35712.83, Accuracy = 0.16, Loss = 2.214
[2019-04-26 18:45] Train Step 0530/10000, Batch Size = 128, Examples/Sec = 35658.27, Accuracy = 0.19, Loss = 2.214
[2019-04-26 18:45] Train Step 0540/10000, Batch Size = 128, Examples/Sec = 35848.75, Accuracy = 0.22, Loss = 2.196
[2019-04-26 18:45] Train Step 0550/10000, Batch Size = 128, Examples/Sec = 35812.88, Accuracy = 0.20, Loss = 2.206
[2019-04-26 18:45] Train Step 0560/10000, Batch Size = 128, Examples/Sec = 35765.17, Accuracy = 0.23, Loss = 2.205
[2019-04-26 18:45] Train Step 0570/10000, Batch Size = 128, Examples/Sec = 35724.71, Accuracy = 0.20, Loss = 2.205
[2019-04-26 18:45] Train Step 0580/10000, Batch Size = 128, Examples/Sec = 34715.22, Accuracy = 0.21, Loss = 2.203
[2019-04-26 18:45] Train Step 0590/10000, Batch Size = 128, Examples/Sec = 35698.58, Accuracy = 0.20, Loss = 2.190
[2019-04-26 18:45] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 36077.61, Accuracy = 0.16, Loss = 2.231
[2019-04-26 18:45] Train Step 0610/10000, Batch Size = 128, Examples/Sec = 35798.55, Accuracy = 0.18, Loss = 2.201
[2019-04-26 18:45] Train Step 0620/10000, Batch Size = 128, Examples/Sec = 35810.49, Accuracy = 0.20, Loss = 2.211
[2019-04-26 18:45] Train Step 0630/10000, Batch Size = 128, Examples/Sec = 35670.12, Accuracy = 0.26, Loss = 2.188
[2019-04-26 18:45] Train Step 0640/10000, Batch Size = 128, Examples/Sec = 35827.22, Accuracy = 0.16, Loss = 2.202
[2019-04-26 18:45] Train Step 0650/10000, Batch Size = 128, Examples/Sec = 36058.22, Accuracy = 0.17, Loss = 2.209
[2019-04-26 18:45] Train Step 0660/10000, Batch Size = 128, Examples/Sec = 36106.73, Accuracy = 0.17, Loss = 2.210
[2019-04-26 18:45] Train Step 0670/10000, Batch Size = 128, Examples/Sec = 35765.17, Accuracy = 0.16, Loss = 2.203
[2019-04-26 18:45] Train Step 0680/10000, Batch Size = 128, Examples/Sec = 35700.95, Accuracy = 0.22, Loss = 2.182
[2019-04-26 18:45] Train Step 0690/10000, Batch Size = 128, Examples/Sec = 35851.15, Accuracy = 0.14, Loss = 2.226
[2019-04-26 18:45] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 35634.60, Accuracy = 0.16, Loss = 2.209
[2019-04-26 18:45] Train Step 0710/10000, Batch Size = 128, Examples/Sec = 35483.87, Accuracy = 0.24, Loss = 2.200
[2019-04-26 18:45] Train Step 0720/10000, Batch Size = 128, Examples/Sec = 35629.87, Accuracy = 0.29, Loss = 2.182
[2019-04-26 18:45] Train Step 0730/10000, Batch Size = 128, Examples/Sec = 35606.24, Accuracy = 0.17, Loss = 2.209
[2019-04-26 18:45] Train Step 0740/10000, Batch Size = 128, Examples/Sec = 36038.86, Accuracy = 0.22, Loss = 2.194
[2019-04-26 18:45] Train Step 0750/10000, Batch Size = 128, Examples/Sec = 36007.44, Accuracy = 0.16, Loss = 2.192
[2019-04-26 18:45] Train Step 0760/10000, Batch Size = 128, Examples/Sec = 35800.94, Accuracy = 0.23, Loss = 2.190
[2019-04-26 18:45] Train Step 0770/10000, Batch Size = 128, Examples/Sec = 35827.22, Accuracy = 0.13, Loss = 2.221
[2019-04-26 18:45] Train Step 0780/10000, Batch Size = 128, Examples/Sec = 35815.27, Accuracy = 0.25, Loss = 2.166
[2019-04-26 18:45] Train Step 0790/10000, Batch Size = 128, Examples/Sec = 36182.16, Accuracy = 0.18, Loss = 2.203
[2019-04-26 18:45] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 35913.50, Accuracy = 0.23, Loss = 2.162
[2019-04-26 18:45] Train Step 0810/10000, Batch Size = 128, Examples/Sec = 35765.17, Accuracy = 0.21, Loss = 2.207
[2019-04-26 18:45] Train Step 0820/10000, Batch Size = 128, Examples/Sec = 35490.90, Accuracy = 0.20, Loss = 2.186
[2019-04-26 18:45] Train Step 0830/10000, Batch Size = 128, Examples/Sec = 35577.93, Accuracy = 0.15, Loss = 2.193
[2019-04-26 18:45] Train Step 0840/10000, Batch Size = 128, Examples/Sec = 36118.87, Accuracy = 0.23, Loss = 2.200
[2019-04-26 18:45] Train Step 0850/10000, Batch Size = 128, Examples/Sec = 35944.76, Accuracy = 0.16, Loss = 2.177
[2019-04-26 18:45] Train Step 0860/10000, Batch Size = 128, Examples/Sec = 34961.64, Accuracy = 0.15, Loss = 2.211
[2019-04-26 18:45] Train Step 0870/10000, Batch Size = 128, Examples/Sec = 35712.83, Accuracy = 0.16, Loss = 2.178
[2019-04-26 18:45] Train Step 0880/10000, Batch Size = 128, Examples/Sec = 35703.33, Accuracy = 0.12, Loss = 2.183
[2019-04-26 18:45] Train Step 0890/10000, Batch Size = 128, Examples/Sec = 35925.52, Accuracy = 0.21, Loss = 2.172
[2019-04-26 18:45] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 35949.57, Accuracy = 0.21, Loss = 2.197
[2019-04-26 18:45] Train Step 0910/10000, Batch Size = 128, Examples/Sec = 35791.39, Accuracy = 0.23, Loss = 2.168
[2019-04-26 18:45] Train Step 0920/10000, Batch Size = 128, Examples/Sec = 35629.87, Accuracy = 0.22, Loss = 2.180
[2019-04-26 18:45] Train Step 0930/10000, Batch Size = 128, Examples/Sec = 35899.09, Accuracy = 0.19, Loss = 2.170
[2019-04-26 18:45] Train Step 0940/10000, Batch Size = 128, Examples/Sec = 35753.26, Accuracy = 0.20, Loss = 2.178
[2019-04-26 18:45] Train Step 0950/10000, Batch Size = 128, Examples/Sec = 35105.66, Accuracy = 0.20, Loss = 2.166
[2019-04-26 18:45] Train Step 0960/10000, Batch Size = 128, Examples/Sec = 35997.78, Accuracy = 0.19, Loss = 2.165
[2019-04-26 18:45] Train Step 0970/10000, Batch Size = 128, Examples/Sec = 35810.49, Accuracy = 0.21, Loss = 2.185
[2019-04-26 18:45] Train Step 0980/10000, Batch Size = 128, Examples/Sec = 35800.94, Accuracy = 0.21, Loss = 2.169
[2019-04-26 18:45] Train Step 0990/10000, Batch Size = 128, Examples/Sec = 35679.60, Accuracy = 0.26, Loss = 2.152
[2019-04-26 18:45] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 36029.19, Accuracy = 0.21, Loss = 2.181
[2019-04-26 18:45] Train Step 1010/10000, Batch Size = 128, Examples/Sec = 35836.79, Accuracy = 0.17, Loss = 2.182
[2019-04-26 18:45] Train Step 1020/10000, Batch Size = 128, Examples/Sec = 35841.57, Accuracy = 0.20, Loss = 2.185
[2019-04-26 18:45] Train Step 1030/10000, Batch Size = 128, Examples/Sec = 35639.33, Accuracy = 0.24, Loss = 2.147
[2019-04-26 18:45] Train Step 1040/10000, Batch Size = 128, Examples/Sec = 34991.26, Accuracy = 0.14, Loss = 2.190
[2019-04-26 18:45] Train Step 1050/10000, Batch Size = 128, Examples/Sec = 36077.61, Accuracy = 0.23, Loss = 2.158
[2019-04-26 18:45] Train Step 1060/10000, Batch Size = 128, Examples/Sec = 35760.40, Accuracy = 0.16, Loss = 2.178
[2019-04-26 18:45] Train Step 1070/10000, Batch Size = 128, Examples/Sec = 35867.91, Accuracy = 0.21, Loss = 2.168
[2019-04-26 18:45] Train Step 1080/10000, Batch Size = 128, Examples/Sec = 35738.98, Accuracy = 0.20, Loss = 2.184
[2019-04-26 18:45] Train Step 1090/10000, Batch Size = 128, Examples/Sec = 35810.49, Accuracy = 0.18, Loss = 2.158
[2019-04-26 18:45] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 33613.26, Accuracy = 0.20, Loss = 2.165
[2019-04-26 18:45] Train Step 1110/10000, Batch Size = 128, Examples/Sec = 35753.26, Accuracy = 0.23, Loss = 2.144
[2019-04-26 18:45] Train Step 1120/10000, Batch Size = 128, Examples/Sec = 36038.86, Accuracy = 0.22, Loss = 2.147
[2019-04-26 18:46] Train Step 1130/10000, Batch Size = 128, Examples/Sec = 35915.90, Accuracy = 0.19, Loss = 2.155
[2019-04-26 18:46] Train Step 1140/10000, Batch Size = 128, Examples/Sec = 35872.71, Accuracy = 0.27, Loss = 2.147
[2019-04-26 18:46] Train Step 1150/10000, Batch Size = 128, Examples/Sec = 36155.36, Accuracy = 0.15, Loss = 2.156
[2019-04-26 18:46] Train Step 1160/10000, Batch Size = 128, Examples/Sec = 36235.89, Accuracy = 0.18, Loss = 2.162
[2019-04-26 18:46] Train Step 1170/10000, Batch Size = 128, Examples/Sec = 35575.57, Accuracy = 0.22, Loss = 2.150
[2019-04-26 18:46] Train Step 1180/10000, Batch Size = 128, Examples/Sec = 35549.66, Accuracy = 0.22, Loss = 2.174
[2019-04-26 18:46] Train Step 1190/10000, Batch Size = 128, Examples/Sec = 35848.75, Accuracy = 0.17, Loss = 2.142
[2019-04-26 18:46] Train Step 1200/10000, Batch Size = 128, Examples/Sec = 36077.61, Accuracy = 0.18, Loss = 2.175
[2019-04-26 18:46] Train Step 1210/10000, Batch Size = 128, Examples/Sec = 36118.87, Accuracy = 0.16, Loss = 2.180
[2019-04-26 18:46] Train Step 1220/10000, Batch Size = 128, Examples/Sec = 36172.41, Accuracy = 0.23, Loss = 2.145
[2019-04-26 18:46] Train Step 1230/10000, Batch Size = 128, Examples/Sec = 36194.36, Accuracy = 0.20, Loss = 2.168
[2019-04-26 18:46] Train Step 1240/10000, Batch Size = 128, Examples/Sec = 36169.97, Accuracy = 0.17, Loss = 2.152
[2019-04-26 18:46] Train Step 1250/10000, Batch Size = 128, Examples/Sec = 36221.22, Accuracy = 0.20, Loss = 2.158
[2019-04-26 18:46] Train Step 1260/10000, Batch Size = 128, Examples/Sec = 35985.72, Accuracy = 0.15, Loss = 2.179
[2019-04-26 18:46] Train Step 1270/10000, Batch Size = 128, Examples/Sec = 35887.09, Accuracy = 0.19, Loss = 2.158
[2019-04-26 18:46] Train Step 1280/10000, Batch Size = 128, Examples/Sec = 35985.72, Accuracy = 0.20, Loss = 2.141
[2019-04-26 18:46] Train Step 1290/10000, Batch Size = 128, Examples/Sec = 36243.23, Accuracy = 0.20, Loss = 2.162
[2019-04-26 18:46] Train Step 1300/10000, Batch Size = 128, Examples/Sec = 35887.09, Accuracy = 0.24, Loss = 2.136
[2019-04-26 18:46] Train Step 1310/10000, Batch Size = 128, Examples/Sec = 36092.16, Accuracy = 0.24, Loss = 2.121
[2019-04-26 18:46] Train Step 1320/10000, Batch Size = 128, Examples/Sec = 35784.24, Accuracy = 0.23, Loss = 2.148
[2019-04-26 18:46] Train Step 1330/10000, Batch Size = 128, Examples/Sec = 35798.55, Accuracy = 0.16, Loss = 2.136
[2019-04-26 18:46] Train Step 1340/10000, Batch Size = 128, Examples/Sec = 36067.91, Accuracy = 0.23, Loss = 2.101
[2019-04-26 18:46] Train Step 1350/10000, Batch Size = 128, Examples/Sec = 36140.75, Accuracy = 0.22, Loss = 2.122
[2019-04-26 18:46] Train Step 1360/10000, Batch Size = 128, Examples/Sec = 36116.44, Accuracy = 0.19, Loss = 2.176
[2019-04-26 18:46] Train Step 1370/10000, Batch Size = 128, Examples/Sec = 36063.07, Accuracy = 0.23, Loss = 2.146
[2019-04-26 18:46] Train Step 1380/10000, Batch Size = 128, Examples/Sec = 36116.44, Accuracy = 0.21, Loss = 2.123
[2019-04-26 18:46] Train Step 1390/10000, Batch Size = 128, Examples/Sec = 35677.23, Accuracy = 0.22, Loss = 2.112
[2019-04-26 18:46] Train Step 1400/10000, Batch Size = 128, Examples/Sec = 35796.17, Accuracy = 0.17, Loss = 2.137
[2019-04-26 18:46] Train Step 1410/10000, Batch Size = 128, Examples/Sec = 35170.06, Accuracy = 0.23, Loss = 2.128
[2019-04-26 18:46] Train Step 1420/10000, Batch Size = 128, Examples/Sec = 35269.41, Accuracy = 0.20, Loss = 2.141
[2019-04-26 18:46] Train Step 1430/10000, Batch Size = 128, Examples/Sec = 35710.45, Accuracy = 0.22, Loss = 2.130
[2019-04-26 18:46] Train Step 1440/10000, Batch Size = 128, Examples/Sec = 35712.83, Accuracy = 0.27, Loss = 2.147
[2019-04-26 18:46] Train Step 1450/10000, Batch Size = 128, Examples/Sec = 35827.22, Accuracy = 0.31, Loss = 2.134
[2019-04-26 18:46] Train Step 1460/10000, Batch Size = 128, Examples/Sec = 35988.13, Accuracy = 0.16, Loss = 2.146
[2019-04-26 18:46] Train Step 1470/10000, Batch Size = 128, Examples/Sec = 35547.30, Accuracy = 0.16, Loss = 2.166
[2019-04-26 18:46] Train Step 1480/10000, Batch Size = 128, Examples/Sec = 35817.66, Accuracy = 0.26, Loss = 2.102
[2019-04-26 18:46] Train Step 1490/10000, Batch Size = 128, Examples/Sec = 35750.88, Accuracy = 0.27, Loss = 2.114
[2019-04-26 18:46] Train Step 1500/10000, Batch Size = 128, Examples/Sec = 35834.40, Accuracy = 0.27, Loss = 2.141
[2019-04-26 18:46] Train Step 1510/10000, Batch Size = 128, Examples/Sec = 35872.71, Accuracy = 0.27, Loss = 2.141
[2019-04-26 18:46] Train Step 1520/10000, Batch Size = 128, Examples/Sec = 35722.33, Accuracy = 0.26, Loss = 2.143
[2019-04-26 18:46] Train Step 1530/10000, Batch Size = 128, Examples/Sec = 35703.33, Accuracy = 0.23, Loss = 2.083
[2019-04-26 18:46] Train Step 1540/10000, Batch Size = 128, Examples/Sec = 35722.33, Accuracy = 0.27, Loss = 2.110
[2019-04-26 18:46] Train Step 1550/10000, Batch Size = 128, Examples/Sec = 35973.66, Accuracy = 0.23, Loss = 2.108
[2019-04-26 18:46] Train Step 1560/10000, Batch Size = 128, Examples/Sec = 35884.69, Accuracy = 0.20, Loss = 2.114
[2019-04-26 18:46] Train Step 1570/10000, Batch Size = 128, Examples/Sec = 35488.56, Accuracy = 0.26, Loss = 2.109
[2019-04-26 18:46] Train Step 1580/10000, Batch Size = 128, Examples/Sec = 34760.18, Accuracy = 0.14, Loss = 2.163
[2019-04-26 18:46] Train Step 1590/10000, Batch Size = 128, Examples/Sec = 35580.28, Accuracy = 0.29, Loss = 2.110
[2019-04-26 18:46] Train Step 1600/10000, Batch Size = 128, Examples/Sec = 35404.31, Accuracy = 0.20, Loss = 2.157
[2019-04-26 18:46] Train Step 1610/10000, Batch Size = 128, Examples/Sec = 35601.52, Accuracy = 0.28, Loss = 2.104
[2019-04-26 18:46] Train Step 1620/10000, Batch Size = 128, Examples/Sec = 35686.71, Accuracy = 0.19, Loss = 2.124
[2019-04-26 18:46] Train Step 1630/10000, Batch Size = 128, Examples/Sec = 35973.66, Accuracy = 0.30, Loss = 2.072
[2019-04-26 18:46] Train Step 1640/10000, Batch Size = 128, Examples/Sec = 35867.91, Accuracy = 0.17, Loss = 2.147
[2019-04-26 18:46] Train Step 1650/10000, Batch Size = 128, Examples/Sec = 35937.54, Accuracy = 0.22, Loss = 2.126
[2019-04-26 18:46] Train Step 1660/10000, Batch Size = 128, Examples/Sec = 35632.24, Accuracy = 0.25, Loss = 2.109
[2019-04-26 18:46] Train Step 1670/10000, Batch Size = 128, Examples/Sec = 35554.37, Accuracy = 0.27, Loss = 2.126
[2019-04-26 18:46] Train Step 1680/10000, Batch Size = 128, Examples/Sec = 35526.13, Accuracy = 0.19, Loss = 2.134
[2019-04-26 18:46] Train Step 1690/10000, Batch Size = 128, Examples/Sec = 36126.16, Accuracy = 0.17, Loss = 2.164
[2019-04-26 18:46] Train Step 1700/10000, Batch Size = 128, Examples/Sec = 35978.48, Accuracy = 0.19, Loss = 2.115
[2019-04-26 18:46] Train Step 1710/10000, Batch Size = 128, Examples/Sec = 35648.80, Accuracy = 0.25, Loss = 2.099
[2019-04-26 18:46] Train Step 1720/10000, Batch Size = 128, Examples/Sec = 36012.27, Accuracy = 0.21, Loss = 2.103
[2019-04-26 18:46] Train Step 1730/10000, Batch Size = 128, Examples/Sec = 35973.66, Accuracy = 0.18, Loss = 2.130
[2019-04-26 18:46] Train Step 1740/10000, Batch Size = 128, Examples/Sec = 35453.41, Accuracy = 0.21, Loss = 2.122
[2019-04-26 18:46] Train Step 1750/10000, Batch Size = 128, Examples/Sec = 35750.88, Accuracy = 0.16, Loss = 2.142
[2019-04-26 18:46] Train Step 1760/10000, Batch Size = 128, Examples/Sec = 35729.46, Accuracy = 0.26, Loss = 2.071
[2019-04-26 18:46] Train Step 1770/10000, Batch Size = 128, Examples/Sec = 35908.70, Accuracy = 0.20, Loss = 2.132
[2019-04-26 18:46] Train Step 1780/10000, Batch Size = 128, Examples/Sec = 36019.52, Accuracy = 0.25, Loss = 2.081
[2019-04-26 18:46] Train Step 1790/10000, Batch Size = 128, Examples/Sec = 36109.15, Accuracy = 0.21, Loss = 2.118
[2019-04-26 18:46] Train Step 1800/10000, Batch Size = 128, Examples/Sec = 35995.37, Accuracy = 0.18, Loss = 2.121
[2019-04-26 18:46] Train Step 1810/10000, Batch Size = 128, Examples/Sec = 36055.80, Accuracy = 0.20, Loss = 2.121
[2019-04-26 18:46] Train Step 1820/10000, Batch Size = 128, Examples/Sec = 36019.52, Accuracy = 0.26, Loss = 2.107
[2019-04-26 18:46] Train Step 1830/10000, Batch Size = 128, Examples/Sec = 35469.80, Accuracy = 0.27, Loss = 2.084
[2019-04-26 18:46] Train Step 1840/10000, Batch Size = 128, Examples/Sec = 35836.79, Accuracy = 0.23, Loss = 2.102
[2019-04-26 18:46] Train Step 1850/10000, Batch Size = 128, Examples/Sec = 35674.86, Accuracy = 0.17, Loss = 2.125
[2019-04-26 18:46] Train Step 1860/10000, Batch Size = 128, Examples/Sec = 35853.54, Accuracy = 0.20, Loss = 2.100
[2019-04-26 18:46] Train Step 1870/10000, Batch Size = 128, Examples/Sec = 36135.89, Accuracy = 0.20, Loss = 2.105
[2019-04-26 18:46] Train Step 1880/10000, Batch Size = 128, Examples/Sec = 36311.86, Accuracy = 0.23, Loss = 2.097
[2019-04-26 18:46] Train Step 1890/10000, Batch Size = 128, Examples/Sec = 36155.36, Accuracy = 0.21, Loss = 2.111
[2019-04-26 18:46] Train Step 1900/10000, Batch Size = 128, Examples/Sec = 36106.73, Accuracy = 0.30, Loss = 2.078
[2019-04-26 18:46] Train Step 1910/10000, Batch Size = 128, Examples/Sec = 36253.02, Accuracy = 0.29, Loss = 2.088
[2019-04-26 18:46] Train Step 1920/10000, Batch Size = 128, Examples/Sec = 36262.81, Accuracy = 0.22, Loss = 2.095
[2019-04-26 18:46] Train Step 1930/10000, Batch Size = 128, Examples/Sec = 36284.87, Accuracy = 0.27, Loss = 2.085
[2019-04-26 18:46] Train Step 1940/10000, Batch Size = 128, Examples/Sec = 35944.76, Accuracy = 0.18, Loss = 2.118
[2019-04-26 18:46] Train Step 1950/10000, Batch Size = 128, Examples/Sec = 36201.68, Accuracy = 0.22, Loss = 2.087
[2019-04-26 18:46] Train Step 1960/10000, Batch Size = 128, Examples/Sec = 36140.75, Accuracy = 0.30, Loss = 2.085
[2019-04-26 18:46] Train Step 1970/10000, Batch Size = 128, Examples/Sec = 35686.71, Accuracy = 0.23, Loss = 2.071
[2019-04-26 18:46] Train Step 1980/10000, Batch Size = 128, Examples/Sec = 36165.10, Accuracy = 0.22, Loss = 2.080
[2019-04-26 18:46] Train Step 1990/10000, Batch Size = 128, Examples/Sec = 36272.61, Accuracy = 0.26, Loss = 2.070
[2019-04-26 18:46] Train Step 2000/10000, Batch Size = 128, Examples/Sec = 36177.29, Accuracy = 0.20, Loss = 2.109
[2019-04-26 18:46] Train Step 2010/10000, Batch Size = 128, Examples/Sec = 35990.54, Accuracy = 0.26, Loss = 2.118
[2019-04-26 18:46] Train Step 2020/10000, Batch Size = 128, Examples/Sec = 35884.69, Accuracy = 0.22, Loss = 2.108
[2019-04-26 18:46] Train Step 2030/10000, Batch Size = 128, Examples/Sec = 35563.79, Accuracy = 0.23, Loss = 2.084
[2019-04-26 18:46] Train Step 2040/10000, Batch Size = 128, Examples/Sec = 36123.73, Accuracy = 0.25, Loss = 2.088
[2019-04-26 18:46] Train Step 2050/10000, Batch Size = 128, Examples/Sec = 35117.14, Accuracy = 0.23, Loss = 2.104
[2019-04-26 18:46] Train Step 2060/10000, Batch Size = 128, Examples/Sec = 35829.61, Accuracy = 0.20, Loss = 2.110
[2019-04-26 18:46] Train Step 2070/10000, Batch Size = 128, Examples/Sec = 35827.22, Accuracy = 0.27, Loss = 2.091
[2019-04-26 18:46] Train Step 2080/10000, Batch Size = 128, Examples/Sec = 35582.64, Accuracy = 0.20, Loss = 2.108
[2019-04-26 18:46] Train Step 2090/10000, Batch Size = 128, Examples/Sec = 35875.10, Accuracy = 0.27, Loss = 2.054
