


EXPERIMENT: input length 3
[2019-04-26 18:45] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 285.92, Accuracy = 0.13, Loss = 2.303
[2019-04-26 18:46] Train Step 0470/10000, Batch Size = 128, Examples/Sec = 71774.19, Accuracy = 0.53, Loss = 1.490
[2019-04-26 18:46] Train Step 0480/10000, Batch Size = 128, Examples/Sec = 72024.54, Accuracy = 0.55, Loss = 1.555
[2019-04-26 18:46] Train Step 0490/10000, Batch Size = 128, Examples/Sec = 71697.50, Accuracy = 0.55, Loss = 1.538
[2019-04-26 18:46] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 71458.93, Accuracy = 0.58, Loss = 1.541
[2019-04-26 18:46] Train Step 0510/10000, Batch Size = 128, Examples/Sec = 71439.91, Accuracy = 0.55, Loss = 1.504
[2019-04-26 18:46] Train Step 0520/10000, Batch Size = 128, Examples/Sec = 71649.66, Accuracy = 0.57, Loss = 1.541
[2019-04-26 18:46] Train Step 0530/10000, Batch Size = 128, Examples/Sec = 70808.61, Accuracy = 0.50, Loss = 1.550
[2019-04-26 18:46] Train Step 0540/10000, Batch Size = 128, Examples/Sec = 72024.54, Accuracy = 0.52, Loss = 1.501
[2019-04-26 18:46] Train Step 0550/10000, Batch Size = 128, Examples/Sec = 71697.50, Accuracy = 0.60, Loss = 1.480
[2019-04-26 18:46] Train Step 0560/10000, Batch Size = 128, Examples/Sec = 72092.24, Accuracy = 0.59, Loss = 1.503
[2019-04-26 18:46] Train Step 0570/10000, Batch Size = 128, Examples/Sec = 71582.79, Accuracy = 0.59, Loss = 1.527
[2019-04-26 18:46] Train Step 0580/10000, Batch Size = 128, Examples/Sec = 71449.42, Accuracy = 0.60, Loss = 1.477
[2019-04-26 18:46] Train Step 0590/10000, Batch Size = 128, Examples/Sec = 72082.56, Accuracy = 0.58, Loss = 1.444
[2019-04-26 18:46] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 71668.79, Accuracy = 0.58, Loss = 1.455
[2019-04-26 18:46] Train Step 0610/10000, Batch Size = 128, Examples/Sec = 71335.49, Accuracy = 0.52, Loss = 1.494
[2019-04-26 18:46] Train Step 0620/10000, Batch Size = 128, Examples/Sec = 70986.50, Accuracy = 0.60, Loss = 1.485
[2019-04-26 18:46] Train Step 0630/10000, Batch Size = 128, Examples/Sec = 71668.79, Accuracy = 0.50, Loss = 1.418
[2019-04-26 18:46] Train Step 0640/10000, Batch Size = 128, Examples/Sec = 72150.37, Accuracy = 0.54, Loss = 1.491
[2019-04-26 18:46] Train Step 0650/10000, Batch Size = 128, Examples/Sec = 71592.33, Accuracy = 0.59, Loss = 1.424
[2019-04-26 18:46] Train Step 0660/10000, Batch Size = 128, Examples/Sec = 71899.14, Accuracy = 0.59, Loss = 1.426
[2019-04-26 18:46] Train Step 0670/10000, Batch Size = 128, Examples/Sec = 70967.73, Accuracy = 0.56, Loss = 1.458
[2019-04-26 18:46] Train Step 0680/10000, Batch Size = 128, Examples/Sec = 70864.69, Accuracy = 0.64, Loss = 1.413
[2019-04-26 18:46] Train Step 0690/10000, Batch Size = 128, Examples/Sec = 71937.68, Accuracy = 0.62, Loss = 1.446
[2019-04-26 18:46] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 72257.19, Accuracy = 0.52, Loss = 1.447
[2019-04-26 18:46] Train Step 0710/10000, Batch Size = 128, Examples/Sec = 71554.17, Accuracy = 0.59, Loss = 1.426
[2019-04-26 18:46] Train Step 0720/10000, Batch Size = 128, Examples/Sec = 71146.42, Accuracy = 0.58, Loss = 1.427
[2019-04-26 18:46] Train Step 0730/10000, Batch Size = 128, Examples/Sec = 71812.59, Accuracy = 0.55, Loss = 1.477
[2019-04-26 18:46] Train Step 0740/10000, Batch Size = 128, Examples/Sec = 71956.96, Accuracy = 0.52, Loss = 1.434
[2019-04-26 18:46] Train Step 0750/10000, Batch Size = 128, Examples/Sec = 70687.41, Accuracy = 0.51, Loss = 1.462
[2019-04-26 18:46] Train Step 0760/10000, Batch Size = 128, Examples/Sec = 72063.21, Accuracy = 0.67, Loss = 1.450
[2019-04-26 18:46] Train Step 0770/10000, Batch Size = 128, Examples/Sec = 72024.54, Accuracy = 0.59, Loss = 1.420
[2019-04-26 18:46] Train Step 0780/10000, Batch Size = 128, Examples/Sec = 71822.20, Accuracy = 0.65, Loss = 1.467
[2019-04-26 18:46] Train Step 0790/10000, Batch Size = 128, Examples/Sec = 70124.20, Accuracy = 0.59, Loss = 1.387
[2019-04-26 18:46] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 71203.04, Accuracy = 0.55, Loss = 1.418
[2019-04-26 18:46] Train Step 0810/10000, Batch Size = 128, Examples/Sec = 70817.95, Accuracy = 0.59, Loss = 1.360
[2019-04-26 18:46] Train Step 0820/10000, Batch Size = 128, Examples/Sec = 72072.88, Accuracy = 0.69, Loss = 1.307
[2019-04-26 18:46] Train Step 0830/10000, Batch Size = 128, Examples/Sec = 71976.26, Accuracy = 0.52, Loss = 1.448
[2019-04-26 18:46] Train Step 0840/10000, Batch Size = 128, Examples/Sec = 72198.89, Accuracy = 0.49, Loss = 1.408
[2019-04-26 18:46] Train Step 0850/10000, Batch Size = 128, Examples/Sec = 71468.44, Accuracy = 0.52, Loss = 1.425
[2019-04-26 18:46] Train Step 0860/10000, Batch Size = 128, Examples/Sec = 71535.10, Accuracy = 0.65, Loss = 1.402
[2019-04-26 18:46] Train Step 0870/10000, Batch Size = 128, Examples/Sec = 71976.26, Accuracy = 0.69, Loss = 1.363
[2019-04-26 18:46] Train Step 0880/10000, Batch Size = 128, Examples/Sec = 72121.29, Accuracy = 0.60, Loss = 1.395
[2019-04-26 18:46] Train Step 0890/10000, Batch Size = 128, Examples/Sec = 71458.93, Accuracy = 0.63, Loss = 1.337
[2019-04-26 18:46] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 71582.79, Accuracy = 0.62, Loss = 1.326
[2019-04-26 18:46] Train Step 0910/10000, Batch Size = 128, Examples/Sec = 71269.20, Accuracy = 0.62, Loss = 1.377
[2019-04-26 18:46] Train Step 0920/10000, Batch Size = 128, Examples/Sec = 72218.31, Accuracy = 0.55, Loss = 1.417
[2019-04-26 18:46] Train Step 0930/10000, Batch Size = 128, Examples/Sec = 71316.54, Accuracy = 0.62, Loss = 1.396
[2019-04-26 18:46] Train Step 0940/10000, Batch Size = 128, Examples/Sec = 71554.17, Accuracy = 0.62, Loss = 1.381
[2019-04-26 18:46] Train Step 0950/10000, Batch Size = 128, Examples/Sec = 72005.22, Accuracy = 0.60, Loss = 1.342
[2019-04-26 18:46] Train Step 0960/10000, Batch Size = 128, Examples/Sec = 71297.60, Accuracy = 0.62, Loss = 1.284
[2019-04-26 18:46] Train Step 0970/10000, Batch Size = 128, Examples/Sec = 71611.43, Accuracy = 0.60, Loss = 1.374
[2019-04-26 18:46] Train Step 0980/10000, Batch Size = 128, Examples/Sec = 71630.54, Accuracy = 0.70, Loss = 1.341
[2019-04-26 18:46] Train Step 0990/10000, Batch Size = 128, Examples/Sec = 71947.32, Accuracy = 0.58, Loss = 1.347
[2019-04-26 18:46] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 72024.54, Accuracy = 0.59, Loss = 1.367
[2019-04-26 18:46] Train Step 1010/10000, Batch Size = 128, Examples/Sec = 72014.88, Accuracy = 0.62, Loss = 1.317
[2019-04-26 18:46] Train Step 1020/10000, Batch Size = 128, Examples/Sec = 71401.90, Accuracy = 0.61, Loss = 1.342
[2019-04-26 18:46] Train Step 1030/10000, Batch Size = 128, Examples/Sec = 71947.32, Accuracy = 0.68, Loss = 1.295
[2019-04-26 18:46] Train Step 1040/10000, Batch Size = 128, Examples/Sec = 72179.47, Accuracy = 0.65, Loss = 1.390
[2019-04-26 18:46] Train Step 1050/10000, Batch Size = 128, Examples/Sec = 70771.28, Accuracy = 0.66, Loss = 1.355
[2019-04-26 18:46] Train Step 1060/10000, Batch Size = 128, Examples/Sec = 71307.07, Accuracy = 0.66, Loss = 1.328
[2019-04-26 18:46] Train Step 1070/10000, Batch Size = 128, Examples/Sec = 71203.04, Accuracy = 0.55, Loss = 1.410
[2019-04-26 18:46] Train Step 1080/10000, Batch Size = 128, Examples/Sec = 71477.95, Accuracy = 0.68, Loss = 1.295
[2019-04-26 18:46] Train Step 1090/10000, Batch Size = 128, Examples/Sec = 72053.54, Accuracy = 0.73, Loss = 1.270
[2019-04-26 18:46] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 71080.49, Accuracy = 0.55, Loss = 1.347
[2019-04-26 18:46] Train Step 1110/10000, Batch Size = 128, Examples/Sec = 71354.45, Accuracy = 0.59, Loss = 1.365
[2019-04-26 18:46] Train Step 1120/10000, Batch Size = 128, Examples/Sec = 71812.59, Accuracy = 0.71, Loss = 1.309
[2019-04-26 18:46] Train Step 1130/10000, Batch Size = 128, Examples/Sec = 71793.38, Accuracy = 0.62, Loss = 1.298
[2019-04-26 18:46] Train Step 1140/10000, Batch Size = 128, Examples/Sec = 72005.22, Accuracy = 0.65, Loss = 1.306
[2019-04-26 18:46] Train Step 1150/10000, Batch Size = 128, Examples/Sec = 71335.49, Accuracy = 0.62, Loss = 1.300
[2019-04-26 18:46] Train Step 1160/10000, Batch Size = 128, Examples/Sec = 71525.57, Accuracy = 0.66, Loss = 1.327
[2019-04-26 18:46] Train Step 1170/10000, Batch Size = 128, Examples/Sec = 71755.00, Accuracy = 0.67, Loss = 1.295
[2019-04-26 18:46] Train Step 1180/10000, Batch Size = 128, Examples/Sec = 71316.54, Accuracy = 0.56, Loss = 1.284
[2019-04-26 18:46] Train Step 1190/10000, Batch Size = 128, Examples/Sec = 71449.42, Accuracy = 0.65, Loss = 1.294
[2019-04-26 18:46] Train Step 1200/10000, Batch Size = 128, Examples/Sec = 72072.88, Accuracy = 0.66, Loss = 1.292
[2019-04-26 18:46] Train Step 1210/10000, Batch Size = 128, Examples/Sec = 72053.54, Accuracy = 0.68, Loss = 1.256
[2019-04-26 18:46] Train Step 1220/10000, Batch Size = 128, Examples/Sec = 71137.00, Accuracy = 0.61, Loss = 1.309
[2019-04-26 18:46] Train Step 1230/10000, Batch Size = 128, Examples/Sec = 70585.18, Accuracy = 0.71, Loss = 1.227
[2019-04-26 18:46] Train Step 1240/10000, Batch Size = 128, Examples/Sec = 72043.87, Accuracy = 0.66, Loss = 1.209
[2019-04-26 18:46] Train Step 1250/10000, Batch Size = 128, Examples/Sec = 72130.98, Accuracy = 0.71, Loss = 1.301
[2019-04-26 18:46] Train Step 1260/10000, Batch Size = 128, Examples/Sec = 71278.67, Accuracy = 0.69, Loss = 1.301
[2019-04-26 18:46] Train Step 1270/10000, Batch Size = 128, Examples/Sec = 71449.42, Accuracy = 0.62, Loss = 1.311
[2019-04-26 18:46] Train Step 1280/10000, Batch Size = 128, Examples/Sec = 71687.93, Accuracy = 0.61, Loss = 1.336
[2019-04-26 18:46] Train Step 1290/10000, Batch Size = 128, Examples/Sec = 71976.26, Accuracy = 0.70, Loss = 1.234
[2019-04-26 18:46] Train Step 1300/10000, Batch Size = 128, Examples/Sec = 71995.56, Accuracy = 0.62, Loss = 1.280
[2019-04-26 18:46] Train Step 1310/10000, Batch Size = 128, Examples/Sec = 70920.86, Accuracy = 0.72, Loss = 1.250
[2019-04-26 18:46] Train Step 1320/10000, Batch Size = 128, Examples/Sec = 70733.98, Accuracy = 0.66, Loss = 1.227
[2019-04-26 18:46] Train Step 1330/10000, Batch Size = 128, Examples/Sec = 70977.12, Accuracy = 0.67, Loss = 1.231
[2019-04-26 18:46] Train Step 1340/10000, Batch Size = 128, Examples/Sec = 71563.70, Accuracy = 0.74, Loss = 1.223
[2019-04-26 18:46] Train Step 1350/10000, Batch Size = 128, Examples/Sec = 72169.77, Accuracy = 0.60, Loss = 1.305
[2019-04-26 18:46] Train Step 1360/10000, Batch Size = 128, Examples/Sec = 72043.87, Accuracy = 0.68, Loss = 1.241
[2019-04-26 18:46] Train Step 1370/10000, Batch Size = 128, Examples/Sec = 71879.89, Accuracy = 0.70, Loss = 1.216
[2019-04-26 18:46] Train Step 1380/10000, Batch Size = 128, Examples/Sec = 71525.57, Accuracy = 0.67, Loss = 1.277
[2019-04-26 18:46] Train Step 1390/10000, Batch Size = 128, Examples/Sec = 71793.38, Accuracy = 0.70, Loss = 1.215
[2019-04-26 18:46] Train Step 1400/10000, Batch Size = 128, Examples/Sec = 71439.91, Accuracy = 0.70, Loss = 1.228
[2019-04-26 18:46] Train Step 1410/10000, Batch Size = 128, Examples/Sec = 72005.22, Accuracy = 0.71, Loss = 1.251
[2019-04-26 18:46] Train Step 1420/10000, Batch Size = 128, Examples/Sec = 71976.26, Accuracy = 0.62, Loss = 1.290
[2019-04-26 18:46] Train Step 1430/10000, Batch Size = 128, Examples/Sec = 71401.90, Accuracy = 0.75, Loss = 1.240
[2019-04-26 18:46] Train Step 1440/10000, Batch Size = 128, Examples/Sec = 70817.95, Accuracy = 0.71, Loss = 1.157
[2019-04-26 18:46] Train Step 1450/10000, Batch Size = 128, Examples/Sec = 71966.61, Accuracy = 0.63, Loss = 1.275
[2019-04-26 18:46] Train Step 1460/10000, Batch Size = 128, Examples/Sec = 71870.27, Accuracy = 0.67, Loss = 1.285
[2019-04-26 18:46] Train Step 1470/10000, Batch Size = 128, Examples/Sec = 71582.79, Accuracy = 0.59, Loss = 1.284
[2019-04-26 18:46] Train Step 1480/10000, Batch Size = 128, Examples/Sec = 72140.68, Accuracy = 0.66, Loss = 1.268
[2019-04-26 18:46] Train Step 1490/10000, Batch Size = 128, Examples/Sec = 72111.61, Accuracy = 0.66, Loss = 1.213
[2019-04-26 18:46] Train Step 1500/10000, Batch Size = 128, Examples/Sec = 70234.29, Accuracy = 0.57, Loss = 1.263
[2019-04-26 18:46] Train Step 1510/10000, Batch Size = 128, Examples/Sec = 71165.29, Accuracy = 0.74, Loss = 1.233
[2019-04-26 18:46] Train Step 1520/10000, Batch Size = 128, Examples/Sec = 71908.77, Accuracy = 0.74, Loss = 1.140
[2019-04-26 18:46] Train Step 1530/10000, Batch Size = 128, Examples/Sec = 71879.89, Accuracy = 0.60, Loss = 1.221
[2019-04-26 18:46] Train Step 1540/10000, Batch Size = 128, Examples/Sec = 71080.49, Accuracy = 0.70, Loss = 1.198
[2019-04-26 18:46] Train Step 1550/10000, Batch Size = 128, Examples/Sec = 72005.22, Accuracy = 0.70, Loss = 1.241
[2019-04-26 18:46] Train Step 1560/10000, Batch Size = 128, Examples/Sec = 71851.03, Accuracy = 0.73, Loss = 1.217
[2019-04-26 18:46] Train Step 1570/10000, Batch Size = 128, Examples/Sec = 71525.57, Accuracy = 0.59, Loss = 1.295
[2019-04-26 18:46] Train Step 1580/10000, Batch Size = 128, Examples/Sec = 70817.95, Accuracy = 0.68, Loss = 1.231
[2019-04-26 18:46] Train Step 1590/10000, Batch Size = 128, Examples/Sec = 71630.54, Accuracy = 0.69, Loss = 1.256
[2019-04-26 18:46] Train Step 1600/10000, Batch Size = 128, Examples/Sec = 71573.25, Accuracy = 0.73, Loss = 1.103
[2019-04-26 18:46] Train Step 1610/10000, Batch Size = 128, Examples/Sec = 71640.10, Accuracy = 0.66, Loss = 1.215
[2019-04-26 18:46] Train Step 1620/10000, Batch Size = 128, Examples/Sec = 71812.59, Accuracy = 0.70, Loss = 1.133
[2019-04-26 18:46] Train Step 1630/10000, Batch Size = 128, Examples/Sec = 71687.93, Accuracy = 0.68, Loss = 1.221
[2019-04-26 18:46] Train Step 1640/10000, Batch Size = 128, Examples/Sec = 71024.07, Accuracy = 0.73, Loss = 1.205
[2019-04-26 18:46] Train Step 1650/10000, Batch Size = 128, Examples/Sec = 70995.89, Accuracy = 0.66, Loss = 1.231
[2019-04-26 18:46] Train Step 1660/10000, Batch Size = 128, Examples/Sec = 71937.68, Accuracy = 0.73, Loss = 1.208
[2019-04-26 18:46] Train Step 1670/10000, Batch Size = 128, Examples/Sec = 72005.22, Accuracy = 0.70, Loss = 1.209
[2019-04-26 18:46] Train Step 1680/10000, Batch Size = 128, Examples/Sec = 71841.42, Accuracy = 0.66, Loss = 1.206
[2019-04-26 18:46] Train Step 1690/10000, Batch Size = 128, Examples/Sec = 71401.90, Accuracy = 0.66, Loss = 1.214
[2019-04-26 18:46] Train Step 1700/10000, Batch Size = 128, Examples/Sec = 71363.94, Accuracy = 0.68, Loss = 1.224
[2019-04-26 18:46] Train Step 1710/10000, Batch Size = 128, Examples/Sec = 71937.68, Accuracy = 0.74, Loss = 1.161
[2019-04-26 18:46] Train Step 1720/10000, Batch Size = 128, Examples/Sec = 72063.21, Accuracy = 0.65, Loss = 1.234
[2019-04-26 18:46] Train Step 1730/10000, Batch Size = 128, Examples/Sec = 71401.90, Accuracy = 0.60, Loss = 1.267
[2019-04-26 18:46] Train Step 1740/10000, Batch Size = 128, Examples/Sec = 71678.36, Accuracy = 0.65, Loss = 1.225
[2019-04-26 18:46] Train Step 1750/10000, Batch Size = 128, Examples/Sec = 71956.96, Accuracy = 0.70, Loss = 1.220
[2019-04-26 18:46] Train Step 1760/10000, Batch Size = 128, Examples/Sec = 71937.68, Accuracy = 0.65, Loss = 1.237
[2019-04-26 18:46] Train Step 1770/10000, Batch Size = 128, Examples/Sec = 71851.03, Accuracy = 0.65, Loss = 1.252
[2019-04-26 18:46] Train Step 1780/10000, Batch Size = 128, Examples/Sec = 71640.10, Accuracy = 0.85, Loss = 1.156
[2019-04-26 18:46] Train Step 1790/10000, Batch Size = 128, Examples/Sec = 71841.42, Accuracy = 0.70, Loss = 1.227
[2019-04-26 18:46] Train Step 1800/10000, Batch Size = 128, Examples/Sec = 71335.49, Accuracy = 0.70, Loss = 1.167
[2019-04-26 18:46] Train Step 1810/10000, Batch Size = 128, Examples/Sec = 71630.54, Accuracy = 0.73, Loss = 1.171
[2019-04-26 18:46] Train Step 1820/10000, Batch Size = 128, Examples/Sec = 71802.98, Accuracy = 0.77, Loss = 1.130
[2019-04-26 18:46] Train Step 1830/10000, Batch Size = 128, Examples/Sec = 72111.61, Accuracy = 0.67, Loss = 1.169
[2019-04-26 18:46] Train Step 1840/10000, Batch Size = 128, Examples/Sec = 71841.42, Accuracy = 0.69, Loss = 1.199
[2019-04-26 18:46] Train Step 1850/10000, Batch Size = 128, Examples/Sec = 72063.21, Accuracy = 0.61, Loss = 1.147
[2019-04-26 18:46] Train Step 1860/10000, Batch Size = 128, Examples/Sec = 71439.91, Accuracy = 0.76, Loss = 1.178
[2019-04-26 18:46] Train Step 1870/10000, Batch Size = 128, Examples/Sec = 71354.45, Accuracy = 0.66, Loss = 1.206
[2019-04-26 18:46] Train Step 1880/10000, Batch Size = 128, Examples/Sec = 71870.27, Accuracy = 0.63, Loss = 1.238
[2019-04-26 18:46] Train Step 1890/10000, Batch Size = 128, Examples/Sec = 71735.82, Accuracy = 0.74, Loss = 1.143
[2019-04-26 18:46] Train Step 1900/10000, Batch Size = 128, Examples/Sec = 71127.57, Accuracy = 0.64, Loss = 1.229
[2019-04-26 18:46] Train Step 1910/10000, Batch Size = 128, Examples/Sec = 70557.35, Accuracy = 0.61, Loss = 1.207
[2019-04-26 18:46] Train Step 1920/10000, Batch Size = 128, Examples/Sec = 71831.81, Accuracy = 0.70, Loss = 1.194
[2019-04-26 18:46] Train Step 1930/10000, Batch Size = 128, Examples/Sec = 72014.88, Accuracy = 0.71, Loss = 1.185
[2019-04-26 18:46] Train Step 1940/10000, Batch Size = 128, Examples/Sec = 71259.74, Accuracy = 0.83, Loss = 1.134
[2019-04-26 18:46] Train Step 1950/10000, Batch Size = 128, Examples/Sec = 71918.41, Accuracy = 0.70, Loss = 1.165
[2019-04-26 18:46] Train Step 1960/10000, Batch Size = 128, Examples/Sec = 71899.14, Accuracy = 0.73, Loss = 1.094
[2019-04-26 18:46] Train Step 1970/10000, Batch Size = 128, Examples/Sec = 71477.95, Accuracy = 0.73, Loss = 1.154
[2019-04-26 18:46] Train Step 1980/10000, Batch Size = 128, Examples/Sec = 71392.41, Accuracy = 0.71, Loss = 1.154
[2019-04-26 18:46] Train Step 1990/10000, Batch Size = 128, Examples/Sec = 71956.96, Accuracy = 0.73, Loss = 1.141
[2019-04-26 18:46] Train Step 2000/10000, Batch Size = 128, Examples/Sec = 71678.36, Accuracy = 0.67, Loss = 1.173
[2019-04-26 18:46] Train Step 2010/10000, Batch Size = 128, Examples/Sec = 71240.83, Accuracy = 0.62, Loss = 1.217
[2019-04-26 18:46] Train Step 2020/10000, Batch Size = 128, Examples/Sec = 71870.27, Accuracy = 0.65, Loss = 1.087
[2019-04-26 18:46] Train Step 2030/10000, Batch Size = 128, Examples/Sec = 71316.54, Accuracy = 0.67, Loss = 1.184
[2019-04-26 18:46] Train Step 2040/10000, Batch Size = 128, Examples/Sec = 72072.88, Accuracy = 0.77, Loss = 1.170
[2019-04-26 18:46] Train Step 2050/10000, Batch Size = 128, Examples/Sec = 72101.92, Accuracy = 0.68, Loss = 1.180
[2019-04-26 18:46] Train Step 2060/10000, Batch Size = 128, Examples/Sec = 71889.52, Accuracy = 0.65, Loss = 1.229
[2019-04-26 18:46] Train Step 2070/10000, Batch Size = 128, Examples/Sec = 71155.85, Accuracy = 0.78, Loss = 1.140
[2019-04-26 18:46] Train Step 2080/10000, Batch Size = 128, Examples/Sec = 72198.89, Accuracy = 0.78, Loss = 1.070
[2019-04-26 18:46] Train Step 2090/10000, Batch Size = 128, Examples/Sec = 71535.10, Accuracy = 0.80, Loss = 1.131
